 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.2   R"
 Date_of_run_____________________________________________________________ (date)________________________     "29/02/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "09:46"
 User____________________________________________________________________ (username)____________________     "jon"     
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "generic large tokamak                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.2-32-g2958d5e"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Add tests for parsing real inputs in IN.DAT"                                                       
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/jon/code/easyVVUQ-process/ra/metrics/rel_threshold/large_tokamak_sol_IN.DAT                                                                                                                                                                                                                                                                                                                               "
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________             -2    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 # Final UNFEASIBLE Point #
 # Numerics #
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.6000E+00    
 Beta_consistency__________________normalised_residue____________________ (eq_con001)___________________      7.8159E-03    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________     -1.5544E-02    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________     -2.3989E-06    
 Density_upper_limit_____________________________________________________ (ineq_con005)_________________      4.3293E-06    
 Neutron_wall_load_upper_limit___________________________________________ (ineq_con008)_________________     -2.2872E-02    
 Fusion_power_upper_limit________________________________________________ (ineq_con009)_________________     -2.2865E-02    
 Burn_time_lower_limit___________________________________________________ (ineq_con013)_________________      2.1526E-01    
 L-H_power_threshold_limit_______________________________________________ (ineq_con015)_________________      2.6835E-01    
 Injection_power_upper_limit_____________________________________________ (ineq_con030)_________________      3.9078E-02    
 Net_electric_power_lower_limit__________________________________________ (ineq_con016)_________________     -8.1371E-02    
 Beta_upper_limit________________________________________________________ (ineq_con024)_________________      4.0887E-03    
 Peak_toroidal_field_upper_limit_________________________________________ (ineq_con025)_________________     -1.8032E-07    
 CS_coil_EOF_current_density_limit_______________________________________ (ineq_con026)_________________      1.3632E-04    
 CS_coil_BOP_current_density_limit_______________________________________ (ineq_con027)_________________      1.2698E-04    
 I_op_/_I_critical_(TF_coil)_____________________________________________ (ineq_con033)_________________     -3.1263E-05    
 Dump_voltage_upper_limit________________________________________________ (ineq_con034)_________________     -1.7223E-04    
 J_winding_pack/J_protection_limit_______________________________________ (ineq_con035)_________________     -1.5447E-05    
 TF_coil_temp._margin_lower_limit________________________________________ (ineq_con036)_________________     -7.4495E-05    
 CS_temperature_margin_lower_limit_______________________________________ (ineq_con060)_________________      2.2210E-04    
 taup/taueff_____________________________________________________________ (ineq_con062)_________________      3.0746E-02    
 Dump_time_set_by_VV_stress______________________________________________ (ineq_con065)_________________     -1.7246E-05    
 CS_Tresca_yield_criterion_______________________________________________ (ineq_con072)_________________      5.6591E-05    
 ne0_>_neped_____________________________________________________________ (ineq_con081)_________________     -5.6851E-06    
 Upper_Lim._on_Psep_*_Bt_/_q_A_R_________________________________________ (ineq_con068)_________________     -2.7634E-01    
 TF_coil_case_stress_upper_limit_________________________________________ (ineq_con031)_________________      4.6020E-06    
 TF_coil_conduit_stress_upper_lim________________________________________ (ineq_con032)_________________      1.0348E-06    
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (fwbllife)____________________      6.0158E+00    
 Divertor_life_(years)___________________________________________________ (divlife.)____________________      1.5955E+00    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      1.2636E+02    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              4    
 # Structures and Site Facilities #
